,name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent,season,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts
439,Nathan Tella,MID,Southampton,-0.5,0,0,0,0,0.0,346,39,0,0,0.0,0.0,2021-09-11T14:00:00Z,0,19,0,0,0,0,4,0,5842,0,0,0.0,0,-1552,405,1957,49,True,0,West Ham,2021-22,,,,,
443,Kjell Scherpen,GK,Brighton,0.0,0,0,0,0,0.0,476,32,0,0,0.0,0.0,2021-09-11T14:00:00Z,0,3,0,0,0,0,4,0,1693,1,0,0.0,0,-227,223,450,45,False,0,Brentford,2021-22,,,,,
444,Conor Coady,DEF,Wolves,3.8,0,0,24,1,0.5,429,40,0,0,1.4,9.2,2021-09-11T14:00:00Z,90,18,0,0,0,0,4,0,522286,2,0,4.0,6,42879,159126,116247,45,False,0,Watford,2021-22,,,,,
447,Adam Lallana,MID,Brighton,2.8,0,0,9,1,3.1,53,32,0,0,1.6,8.8,2021-09-11T14:00:00Z,90,3,0,0,0,0,4,0,17558,1,0,4.0,3,-1911,1623,3534,54,False,0,Brentford,2021-22,,,,,
449,Youri Tielemans,MID,Leicester,3.2,0,0,6,0,0.5,210,37,1,0,0.7,6.2,2021-09-11T14:00:00Z,90,12,0,0,0,0,4,0,356930,1,0,0.0,2,-48963,25057,74020,65,True,0,Man City,2021-22,,,,,
450,Hugo Lloris,GK,Spurs,7.5,0,0,11,0,0.0,353,34,3,0,1.2,11.6,2021-09-11T11:30:00Z,90,7,0,0,0,0,4,1,995983,0,3,0.0,1,337135,416968,79833,56,False,0,Crystal Palace,2021-22,,,,,
452,Saman Ghoddos,MID,Brentford,0.5,0,0,0,0,0.0,85,32,0,0,0.0,0.0,2021-09-11T14:00:00Z,0,4,0,0,0,0,4,0,3695,1,0,0.0,0,-276,229,505,54,True,0,Brighton,2021-22,,,,,
453,Illan Meslier,GK,Leeds,1.8,0,0,24,0,0.0,199,36,3,0,4.2,42.4,2021-09-12T15:30:00Z,90,11,0,0,0,0,4,5,252407,3,0,0.0,2,-28588,17008,45596,50,True,0,Liverpool,2021-22,,,,,
459,Jordan Henderson,MID,Liverpool,2.5,0,0,2,0,15.5,222,36,0,0,2.8,5.8,2021-09-12T15:30:00Z,27,10,0,0,0,0,4,0,65240,3,0,7.0,1,7190,19005,11815,50,False,0,Leeds,2021-22,,,,,
460,Ibrahima Diallo,MID,Southampton,0.5,0,0,2,0,0.9,349,39,0,0,0.7,0.0,2021-09-11T14:00:00Z,37,19,0,0,0,0,4,0,10485,0,0,7.0,1,286,2079,1793,45,True,0,West Ham,2021-22,,,,,
461,Calum Chambers,DEF,Arsenal,1.0,0,0,0,0,0.0,10,31,0,0,0.0,0.0,2021-09-11T14:00:00Z,0,15,0,0,0,0,4,0,24794,0,1,0.0,0,-2519,3781,6300,44,True,0,Norwich,2021-22,,,,,
462,Dwight McNeil,MID,Burnley,1.8,0,0,24,0,29.3,118,35,3,0,7.7,26.2,2021-09-13T19:00:00Z,90,8,0,0,0,0,4,0,18366,1,3,21.0,2,-1597,2420,4017,59,False,0,Everton,2021-22,,,,,
463,Jonathan Castro Otto,DEF,Wolves,0.0,0,0,0,0,0.0,433,40,0,0,0.0,0.0,2021-09-11T14:00:00Z,0,18,0,0,0,0,4,0,444,2,0,0.0,0,-16,79,95,45,False,0,Watford,2021-22,,,,,
467,James Tomkins,DEF,Crystal Palace,-0.5,0,0,0,0,0.0,147,34,0,0,0.0,0.0,2021-09-11T11:30:00Z,0,17,0,0,0,0,4,0,9096,0,3,0.0,0,-928,423,1351,44,True,0,Spurs,2021-22,,,,,
468,Timo Werner,FWD,Chelsea,1.2,0,0,2,0,0.1,134,33,0,0,0.0,0.0,2021-09-11T16:30:00Z,8,2,0,0,0,0,4,0,147360,0,3,0.0,1,-46619,8118,54737,87,True,0,Aston Villa,2021-22,,,,,
469,David Raya Martin,GK,Brentford,3.2,0,0,13,0,0.0,80,32,1,0,1.3,13.0,2021-09-11T14:00:00Z,90,4,0,0,0,0,4,1,796908,1,0,0.0,2,302618,398394,95776,46,True,0,Brighton,2021-22,,,,,
470,Nick Pope,GK,Burnley,1.8,0,0,14,0,0.0,112,35,3,0,2.2,21.6,2021-09-13T19:00:00Z,90,8,0,0,0,0,4,3,258671,1,3,0.0,2,-15850,11012,26862,55,False,0,Everton,2021-22,,,,,
471,Ezri Konsa Ngoyo,DEF,Aston Villa,1.9,0,0,6,0,0.5,45,33,3,0,6.5,20.8,2021-09-11T16:30:00Z,90,6,0,0,0,0,4,0,54499,0,3,44.0,1,-22516,460,22976,50,False,0,Chelsea,2021-22,,,,,
472,Kristoffer Klaesson,GK,Leeds,-0.5,0,0,0,0,0.0,490,36,0,0,0.0,0.0,2021-09-12T15:30:00Z,0,11,0,0,0,0,4,0,11551,3,0,0.0,0,-883,542,1425,45,True,0,Liverpool,2021-22,,,,,
480,Jacob Ramsey,MID,Aston Villa,0.5,0,0,3,0,21.7,51,33,2,0,6.9,17.8,2021-09-11T16:30:00Z,55,6,0,0,0,0,4,0,32037,0,3,29.0,0,-7876,2664,10540,45,False,1,Chelsea,2021-22,,,,,
481,Nathan Aké,DEF,Man City,1.0,0,0,0,0,0.0,258,37,0,0,0.0,0.0,2021-09-11T14:00:00Z,0,9,0,0,0,0,4,0,32517,1,0,0.0,0,-6516,2338,8854,49,False,0,Leicester,2021-22,,,,,
483,Dennis Praet,MID,Leicester,0.0,0,0,0,0,0.0,206,37,0,0,0.0,0.0,2021-09-11T14:00:00Z,0,12,0,0,0,0,4,0,2871,1,0,0.0,0,-1189,131,1320,49,True,0,Man City,2021-22,,,,,
485,Angelo Ogbonna,DEF,West Ham,3.7,0,3,30,1,0.5,409,39,0,0,1.6,15.2,2021-09-11T14:00:00Z,90,16,0,0,0,0,4,0,15866,0,0,0.0,9,-135,2284,2419,50,False,0,Southampton,2021-22,,,,,
