,name,position,team,opponent_team,round,total_points,season,xP,assists_avg_last3,bonus_avg_last3,bps_avg_last3,clean_sheets_avg_last3,creativity_avg_last3,expected_assists_avg_last3,expected_goal_involvements_avg_last3,expected_goals_avg_last3,expected_goals_conceded_avg_last3,goals_conceded_avg_last3,goals_scored_avg_last3,influence_avg_last3,minutes_avg_last3,own_goals_avg_last3,penalties_missed_avg_last3,penalties_saved_avg_last3,red_cards_avg_last3,saves_avg_last3,selected_avg_last3,starts_avg_last3,threat_avg_last3,total_points_avg_last3,transfers_balance_avg_last3,transfers_in_avg_last3,transfers_out_avg_last3,value_avg_last3,yellow_cards_avg_last3,assists_prev_week,bonus_prev_week,bps_prev_week,clean_sheets_prev_week,creativity_prev_week,expected_assists_prev_week,expected_goal_involvements_prev_week,expected_goals_prev_week,expected_goals_conceded_prev_week,goals_conceded_prev_week,goals_scored_prev_week,influence_prev_week,minutes_prev_week,own_goals_prev_week,penalties_missed_prev_week,penalties_saved_prev_week,red_cards_prev_week,saves_prev_week,selected_prev_week,starts_prev_week,threat_prev_week,total_points_prev_week,transfers_balance_prev_week,transfers_in_prev_week,transfers_out_prev_week,value_prev_week,yellow_cards_prev_week
3111,Mohamed Salah,MID,Liverpool,9,34,11,2022-23,16.4,0.0,0.0,22.333333333333332,0.0,19.900000000000002,0.17666666666666667,0.66,0.4833333333333334,1.1966666666666665,2.0,0.6666666666666666,27.533333333333335,90.0,0.0,0.0,0.0,0.0,0.0,3873131.6666666665,1.0,34.0,5.333333333333333,265465.3333333333,328443.3333333333,62978.0,129.66666666666666,0.0,0,0,24,0,8.4,0.1,1.01,0.91,1.99,3,1,37.0,90,0,0,0,0,0,3938062,1.0,44.0,7,133703,244875,111172,130,0
3112,Lewis Dunk,DEF,Brighton,20,34,6,2022-23,8.8,0.0,0.3333333333333333,18.0,0.0,9.866666666666667,0.03666666666666667,0.11666666666666665,0.08,1.3033333333333335,2.0,0.3333333333333333,32.00000000000001,90.0,0.0,0.0,0.0,0.0,0.0,633381.0,1.0,14.333333333333334,3.6666666666666665,54488.333333333336,68557.0,14068.666666666666,47.333333333333336,0.0,0,0,13,0,12.8,0.06,0.11,0.05,2.48,3,0,21.8,90,0,0,0,0,0,730119,1.0,4.0,1,119455,132480,13025,48,0
3113,Lewis Dunk,DEF,Brighton,14,34,5,2022-23,8.8,0.0,0.0,20.666666666666668,0.3333333333333333,9.566666666666668,0.07666666666666667,0.09333333333333332,0.01666666666666666,1.2599999999999998,1.3333333333333333,0.0,22.13333333333334,90.0,0.0,0.0,0.0,0.0,0.0,733872.0,1.0,2.0,3.0,92837.0,107266.0,14429.0,47.666666666666664,0.0,0,0,34,1,14.3,0.16,0.16,0.0,0.7,0,0,23.8,90,0,0,0,0,0,857530,1.0,0.0,6,104316,125460,21144,48,0
3114,Emiliano Buendía Stati,MID,Aston Villa,14,34,2,2022-23,3.2,0.3333333333333333,0.0,8.666666666666666,0.6666666666666666,29.200000000000003,0.39333333333333337,0.7133333333333334,0.32,1.1300000000000001,0.3333333333333333,0.0,13.266666666666666,90.0,0.0,0.0,0.0,0.0,0.0,123476.0,1.0,15.333333333333334,3.6666666666666665,3226.6666666666665,13259.333333333334,10032.666666666666,57.0,0.0,0,0,1,1,13.8,0.06,0.22,0.16,0.1,0,0,4.4,90,0,0,0,0,0,126955,1.0,9.0,3,-970,9578,10548,57,0
3115,Aaron Ramsdale,GK,Arsenal,6,34,3,2022-23,2.1,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,1.7433333333333334,3.0,0.0,25.8,90.0,0.0,0.0,0.0,0.0,3.0,1293295.3333333333,1.0,0.0,1.3333333333333333,-14631.333333333334,16753.0,31384.333333333332,49.0,0.0,0,0,18,0,0.0,0.0,0.0,0.0,2.06,4,0,45.2,90,0,0,0,0,5,1265337,1.0,0.0,1,-46627,3160,49787,49,0
3116,Tyrick Mitchell,DEF,Crystal Palace,19,34,1,2022-23,3.0,0.0,0.0,20.666666666666668,0.6666666666666666,10.566666666666665,0.03333333333333333,0.06333333333333334,0.03,0.8533333333333338,0.6666666666666666,0.0,13.466666666666669,90.0,0.0,0.0,0.0,0.0,0.0,110170.66666666667,1.0,4.333333333333333,4.0,10760.333333333334,13800.666666666666,3040.3333333333335,44.0,0.3333333333333333,0,0,18,0,16.9,0.02,0.02,0.0,1.36,2,0,17.2,90,0,0,0,0,0,106907,1.0,0.0,1,1938,7725,5787,44,0
3117,Max Kilman,DEF,Wolves,5,34,-1,2022-23,3.8,0.0,0.0,18.666666666666668,0.6666666666666666,0.8666666666666667,0.006666666666666667,0.07666666666666667,0.06999999999999999,1.45,0.6666666666666666,0.0,21.13333333333334,90.0,0.0,0.0,0.0,0.0,0.0,387877.6666666667,1.0,3.6666666666666665,4.333333333333333,15816.333333333334,25220.333333333332,9404.0,43.0,0.0,0,0,22,1,0.6,0.0,0.09,0.09,0.75,0,0,21.6,90,0,0,0,0,0,394056,1.0,4.0,6,-1632,15334,16966,43,0
3118,Dwight McNeil,MID,Everton,10,34,2,2022-23,5.0,0.0,1.3333333333333333,23.666666666666668,0.3333333333333333,13.0,0.12000000000000001,0.25666666666666665,0.1366666666666667,1.5866666666666667,2.3333333333333335,0.6666666666666666,22.46666666666667,90.0,0.0,0.0,0.0,0.0,0.0,26010.0,1.0,12.666666666666666,7.0,419.6666666666667,2659.0,2239.3333333333335,51.0,0.0,0,1,24,0,0.0,0.04,0.14,0.1,2.44,4,1,0.0,90,0,0,0,0,0,24862,1.0,0.0,8,-2795,436,3231,51,0
3119,Ezri Konsa Ngoyo,DEF,Aston Villa,14,34,2,2022-23,4.6,0.0,0.6666666666666666,22.333333333333332,0.6666666666666666,4.333333333333333,0.01,0.08333333333333333,0.07333333333333333,1.1300000000000001,0.3333333333333333,0.0,10.4,90.0,0.0,0.0,0.0,0.0,0.0,87528.33333333333,1.0,3.3333333333333335,5.333333333333333,10486.333333333334,14419.333333333334,3933.0,44.0,0.0,0,2,28,1,0.7,0.0,0.22,0.22,0.1,0,0,13.6,90,0,0,0,0,0,98588,1.0,8.0,8,7594,11610,4016,44,0
3120,Kieran Trippier,DEF,Newcastle,17,34,2,2022-23,2.8,0.0,0.0,16.0,0.0,34.86666666666667,0.24,0.2399999999999999,0.0,1.09,1.6666666666666667,0.0,12.533333333333337,83.0,0.0,0.0,0.0,0.0,0.0,7697545.333333333,1.0,0.0,1.6666666666666667,1874.6666666666667,41435.666666666664,39561.0,62.0,0.0,0,0,13,0,0.0,0.06,0.06,0.0,0.66,1,0,0.0,90,0,0,0,0,0,7702715,1.0,0.0,2,-17061,36257,53318,62,0
3121,Aymeric Laporte,DEF,Man City,9,34,0,2022-23,2.8,0.0,0.0,4.0,0.0,3.4333333333333336,0.013333333333333334,0.013333333333333334,0.0,0.7400000000000001,0.3333333333333333,0.0,5.2,30.0,0.0,0.0,0.0,0.0,0.0,55821.0,0.3333333333333333,0.0,0.6666666666666666,28.333333333333332,1257.3333333333333,1229.0,56.333333333333336,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,56470,0.0,0.0,0,764,1447,683,56,0
3122,Aymeric Laporte,DEF,Man City,19,34,0,2022-23,2.8,0.0,0.0,4.0,0.0,3.4333333333333336,0.013333333333333334,0.013333333333333334,0.0,0.7400000000000001,0.3333333333333333,0.0,5.2,30.0,0.0,0.0,0.0,0.0,0.0,56260.333333333336,0.3333333333333333,0.0,0.6666666666666666,110.0,1404.0,1294.0,56.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,56983,0.0,0.0,0,242,1818,1576,56,0
3123,Joelinton Cássio Apolinário de Lira,MID,Newcastle,17,34,1,2022-23,8.3,0.3333333333333333,1.3333333333333333,27.333333333333332,0.0,7.399999999999999,0.026666666666666672,0.5866666666666668,0.56,1.096666666666667,1.3333333333333333,0.6666666666666666,18.666666666666668,86.33333333333333,0.0,0.0,0.0,0.0,0.0,169467.0,1.0,15.666666666666666,7.666666666666667,39562.666666666664,48233.333333333336,8670.666666666666,59.333333333333336,0.0,0,2,25,0,0.0,0.04,0.36,0.32,0.66,1,1,0.0,90,0,0,0,0,0,205245,1.0,0.0,9,49368,58242,8874,60,0
