,name,position,team,opponent_team,round,xP,season,minutes_lag_1,minutes_lag_2,bps_lag_1,minutes_lag_3,influence_lag_1,total_points_lag_1,selected_lag_1,selected_lag_2,selected_lag_3,threat_lag_1,bps_lag_2,influence_lag_2,creativity_lag_1,bps_lag_3,influence_lag_3,total_points_lag_2,threat_lag_2,total_points_lag_3,transfers_in_lag_2,creativity_lag_2,goals_conceded_lag_1,goals_conceded_lag_1.1,value_lag_2,value_lag_1,value_lag_3,threat_lag_3,creativity_lag_3,expected_goal_involvements_lag_1,transfers_in_lag_1,expected_goals_lag_1,transfers_in_lag_3,expected_goals_conceded_lag_1,goals_scored_lag_1,goals_scored_lag_1.1,expected_goal_involvements_lag_2,goals_conceded_lag_2,goals_conceded_lag_2.1,bonus_lag_1,goals_scored_lag_3,goals_scored_lag_3.1,expected_goals_lag_2,goals_conceded_lag_3,goals_conceded_lag_3.1,clean_sheets_lag_2.1,clean_sheets_lag_2,clean_sheets_lag_1,clean_sheets_lag_1.1,expected_assists_lag_1,expected_goal_involvements_lag_3,expected_assists_lag_2,expected_goals_lag_3,bonus_lag_3,goals_scored_lag_2.1,goals_scored_lag_2,transfers_out_lag_1,expected_goals_conceded_lag_2,bonus_lag_2,total_points
3668,Richarlison de Andrade,FWD,Spurs,6,25,1.2,2022-23,67,15,6,0,14.0,2,79330,78680,77003,46.0,4,0.0,11.5,0,0.0,1,0.0,0,1974,1.8,0,0,84,84,84,0.0,0.0,0.29,1482,0.27,2849,0.21,0,0,0.0,1,1,0,0,0,0.0,0,0,0,0,1,1,0.02,0.0,0.0,0.0,0,0,0,1829,0.13,0,2
3669,Kieran Tierney,DEF,Arsenal,10,25,1.6,2022-23,1,0,5,0,2.0,1,81678,82602,82602,0.0,0,0.0,0.0,0,0.0,0,0.0,0,357,0.0,0,0,46,46,46,0.0,0.0,0.0,285,0.0,357,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1458,0.0,0,0
3670,Kieran Tierney,DEF,Arsenal,8,25,1.6,2022-23,0,1,0,0,0.0,0,80813,81678,82602,0.0,5,2.0,0.0,0,0.0,1,0.0,0,285,0.0,0,0,46,46,46,0.0,0.0,0.0,392,0.0,357,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1295,0.0,0,1
3671,Ilkay Gündogan,MID,Man City,3,25,4.7,2022-23,90,90,11,90,9.4,2,230839,220021,220021,21.0,13,23.2,24.9,28,45.0,5,2.0,7,6990,15.2,1,1,73,73,73,64.0,12.6,0.25,12771,0.18,6990,0.98,0,0,0.16,1,1,0,1,1,0.0,1,1,0,0,0,0,0.07,1.63,0.16,1.5,0,0,0,2849,1.62,0,1
3672,Patrick Bamford,FWD,Leeds,17,25,2.7,2022-23,90,57,2,62,6.4,2,64168,68489,82169,14.0,2,1.2,13.9,17,20.6,1,40.0,5,2519,0.3,1,1,72,72,72,4.0,12.0,0.24,3069,0.19,35840,1.52,0,0,0.23,0,0,0,0,0,0.23,1,1,0,0,0,0,0.04,0.01,0.0,0.0,0,0,0,7821,0.45,0,1
3673,Ben Davies,DEF,Spurs,6,25,6.2,2022-23,0,0,0,90,0.0,0,456,456,127629,0.0,0,0.0,0.0,31,24.2,0,0.0,11,0,0.0,0,0,40,40,48,12.0,12.7,0.0,0,0.0,3901,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.1,0.0,0.03,2,0,0,3,0.0,0,5
3674,Conor Coady,DEF,Everton,2,25,4.7,2022-23,90,90,19,90,9.0,6,412442,405249,399681,8.0,7,7.2,0.3,19,15.2,0,0.0,6,13203,0.5,0,0,49,49,49,0.0,0.3,0.24,17142,0.23,4457,0.6,0,0,0.01,2,2,0,0,0,0.0,0,0,0,0,1,1,0.01,0.0,0.01,0.0,0,0,0,10753,2.19,0,1
3675,Conor Coady,DEF,Everton,1,25,4.7,2022-23,90,90,15,90,12.6,1,602487,412442,405249,0.0,19,9.0,1.8,7,7.2,6,8.0,0,17142,0.3,2,2,49,49,49,0.0,0.5,0.03,118247,0.0,13203,1.94,0,0,0.24,0,0,0,0,0,0.23,2,2,1,1,0,0,0.03,0.01,0.01,0.0,0,0,0,15873,0.6,0,0
3676,Tyrone Mings,DEF,Aston Villa,8,25,1.8,2022-23,90,0,10,90,12.0,0,406635,439914,462711,0.0,0,0.0,0.3,11,14.8,0,0.0,0,5146,0.0,4,4,43,43,43,0.0,0.8,0.0,1411,0.0,44614,3.28,0,0,0.0,0,0,0,0,0,0.0,4,4,0,0,0,0,0.0,0.01,0.0,0.0,0,0,0,35251,0.0,0,7
3677,José Malheiro de Sá,GK,Wolves,9,25,5.5,2022-23,90,90,8,90,3.6,2,585449,561288,530887,0.0,11,13.0,0.0,24,18.6,2,0.0,6,37007,0.0,1,1,50,50,50,0.0,0.0,0.0,32442,0.0,7333,1.01,0,0,0.0,1,1,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,9117,1.14,0,3
3678,José Malheiro de Sá,GK,Wolves,12,25,5.5,2022-23,90,90,16,90,26.8,3,740837,585449,561288,0.0,8,3.6,0.0,11,13.0,2,0.0,2,32442,0.0,1,1,50,50,50,0.0,0.0,0.0,78586,0.0,37007,0.47,0,0,0.0,1,1,0,0,0,0.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,21491,1.01,0,2
3679,Demarai Gray,MID,Everton,2,25,0.7,2022-23,0,29,0,0,0.0,0,70016,68629,72480,0.0,2,3.8,0.0,0,0.0,1,0.0,0,1832,0.8,0,0,53,53,53,0.0,0.0,0.0,4472,0.0,3647,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,3335,0.44,0,1
3680,Demarai Gray,MID,Everton,1,25,0.7,2022-23,20,0,2,29,4.0,1,91892,70016,68629,16.0,0,0.0,2.3,2,3.8,0,0.0,1,4472,0.0,1,1,53,53,53,0.0,0.8,0.11,16168,0.11,1832,0.31,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,5016,0.0,0,1
3681,Jordan Pickford,GK,Everton,2,25,5.1,2022-23,90,90,21,90,7.6,6,585910,574843,572476,0.0,12,26.0,0.0,21,14.2,1,0.0,5,13079,0.0,0,0,44,44,44,0.0,0.0,0.01,18688,0.0,6930,0.6,0,0,0.0,2,2,0,0,0,0.0,0,0,0,0,1,1,0.01,0.01,0.0,0.0,0,0,0,9318,2.19,0,2
