,name,position,team,opponent_team,round,xP,season,minutes_lag_1,minutes_lag_2,bps_lag_1,minutes_lag_3,influence_lag_1,total_points_lag_1,selected_lag_1,selected_lag_2,selected_lag_3,threat_lag_1,bps_lag_2,influence_lag_2,creativity_lag_1,bps_lag_3,influence_lag_3,total_points_lag_2,threat_lag_2,total_points_lag_3,transfers_in_lag_2,creativity_lag_2,goals_conceded_lag_1,goals_conceded_lag_1.1,value_lag_2,value_lag_1,value_lag_3,threat_lag_3,creativity_lag_3,expected_goal_involvements_lag_1,transfers_in_lag_1,expected_goals_lag_1,transfers_in_lag_3,expected_goals_conceded_lag_1,goals_scored_lag_1,goals_scored_lag_1.1,expected_goal_involvements_lag_2,goals_conceded_lag_2,goals_conceded_lag_2.1,bonus_lag_1,goals_scored_lag_3,goals_scored_lag_3.1,expected_goals_lag_2,goals_conceded_lag_3,goals_conceded_lag_3.1,clean_sheets_lag_2.1,clean_sheets_lag_2,clean_sheets_lag_1,clean_sheets_lag_1.1,expected_assists_lag_1,expected_goal_involvements_lag_3,expected_assists_lag_2,expected_goals_lag_3,bonus_lag_3,goals_scored_lag_2.1,goals_scored_lag_2,transfers_out_lag_1,expected_goals_conceded_lag_2,bonus_lag_2,total_points
1511,Phil Foden,MID,Man City,10,14,7.8,2022-23,28,90,2,57,1.2,1,2933177,2154425,1570203,4.0,22,31.8,1.8,34,61.4,2,10.0,11,615777,58.8,0,0,82,84,81,63.0,54.6,0.0,875540,0.0,743460,0.0,0,0,0.0,1,1,0,1,1,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,0,22402,0.0,0,1
1512,Scott McTominay,MID,Man Utd,19,14,0.7,2022-23,10,14,0,0,0.0,1,21220,21347,22123,4.0,3,0.6,0.5,0,0.0,1,2.0,0,336,1.0,1,1,49,49,49,0.0,0.0,0.0,404,0.0,340,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,794,0.0,0,1
1513,Mateusz Klich,MID,Leeds,12,14,-0.2,2022-23,14,8,3,15,3.4,1,7284,7374,7470,0.0,5,5.4,1.3,3,0.4,1,7.0,1,148,0.1,1,1,47,47,47,0.0,1.8,0.0,180,0.0,298,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,310,0.0,0,0
1514,Kevin De Bruyne,MID,Man City,10,14,8.2,2022-23,90,90,30,69,42.8,9,3172794,3749684,3810220,37.0,16,14.0,40.8,28,20.8,2,16.0,6,131945,37.1,1,1,124,123,124,12.0,26.8,0.0,108855,0.0,463177,0.0,1,1,0.0,1,1,2,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,116204,0.0,0,11
1515,Lucas Rodrigues Moura da Silva,MID,Spurs,3,14,1.7,2022-23,24,8,3,1,6.0,1,16195,15766,14840,2.0,2,2.2,1.0,3,0.0,1,0.0,1,683,1.6,0,0,58,58,58,0.0,0.0,0.0,628,0.0,340,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,378,0.0,0,1
1516,Ben Mee,DEF,Brentford,20,14,5.2,2022-23,0,90,0,90,0.0,0,437663,371047,336232,0.0,23,24.6,0.0,23,27.2,6,2.0,6,38588,0.7,0,0,45,45,45,6.0,0.3,0.0,86165,0.0,18302,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0,0,0,14032,0.0,0,11
1517,Daniel James,MID,Fulham,8,14,1.0,2022-23,0,17,0,45,0.0,0,14981,17676,17302,0.0,3,0.4,0.0,4,1.4,1,2.0,1,1279,0.7,0,0,60,60,60,54.0,1.9,0.0,97,0.0,1728,0.0,0,0,0.0,0,0,0,0,0,0.0,2,2,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,2590,0.0,0,0
1518,Bruno Borges Fernandes,MID,Man Utd,19,14,3.3,2022-23,90,90,7,90,14.2,2,240050,229432,221219,12.0,42,61.0,39.0,10,16.6,11,43.0,2,7668,115.2,1,1,98,98,98,14.0,42.2,0.0,23172,0.0,5900,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0,1,1,7856,0.0,3,2
1519,Ivan Toney,FWD,Brentford,20,14,3.8,2022-23,90,90,11,90,4.8,2,2952473,2904846,2518602,5.0,-1,7.0,16.5,54,72.8,2,84.0,12,350622,2.7,4,4,74,74,73,58.0,16.7,0.0,239645,0.0,182368,0.0,0,0,0.0,0,0,0,2,2,0.0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,3,0,0,104348,0.0,0,1
1520,Cheikhou Kouyaté,MID,Nott'm Forest,1,14,0.7,2022-23,79,29,19,69,16.0,3,24193,23858,25329,15.0,6,6.2,31.4,5,9.4,1,0.0,2,813,10.5,0,0,45,45,45,7.0,1.3,0.0,1286,0.0,972,0.0,0,0,0.0,0,0,0,0,0,0.0,1,1,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,1861,0.0,0,2
1521,Kurt Zouma,DEF,West Ham,14,14,4.5,2022-23,90,90,40,0,44.4,15,187618,168447,216966,37.0,13,14.2,0.8,0,0.0,2,0.0,0,290,0.3,0,0,45,45,45,0.0,0.0,0.0,10950,0.0,11200,0.0,1,1,0.0,1,1,3,0,0,0.0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,9435,0.0,0,2
1522,Kyle Walker,DEF,Man City,10,14,0.0,2022-23,0,0,0,0,0.0,0,391879,458427,581409,0.0,0,0.0,0.0,0,0.0,0,0.0,0,297,0.0,0,0,49,49,50,0.0,0.0,0.0,102,0.0,10015,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,29337,0.0,0,0
1523,Vitaly Janelt,MID,Brentford,20,14,2.3,2022-23,90,90,15,90,9.2,2,15975,15828,16161,0.0,10,12.8,12.1,9,22.8,3,20.0,3,961,1.8,4,4,55,55,55,0.0,1.1,0.0,1085,0.0,792,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0,0,0,1501,0.0,0,2
1524,Robert Sánchez,GK,Brighton,6,14,2.3,2022-23,90,90,12,90,11.2,1,1513448,1660562,1624656,0.0,19,4.2,0.0,8,2.6,6,0.0,1,36935,0.0,3,3,47,47,47,0.0,0.0,0.0,6440,0.0,49045,0.0,0,0,0.0,0,0,0,0,0,0.0,2,2,1,1,0,0,0.0,0.0,0.0,0.0,0,0,0,109377,0.0,0,5
1525,Edouard Mendy,GK,Chelsea,5,14,0.8,2022-23,0,0,0,0,0.0,0,963620,1005715,1087213,0.0,0,0.0,0.0,0,0.0,0,0.0,0,4673,0.0,0,0,49,49,49,0.0,0.0,0.0,1513,0.0,15820,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,78351,0.0,0,2
1526,Luke Ayling,DEF,Leeds,12,14,-0.3,2022-23,90,0,8,0,19.2,1,8197,8606,7876,21.0,0,0.0,2.6,0,0.0,0,0.0,0,746,0.0,3,3,45,45,45,0.0,0.0,0.0,509,0.0,792,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,642,0.0,0,1
1527,Pierre-Emile Højbjerg,MID,Spurs,3,14,4.5,2022-23,0,90,0,90,0.0,0,359209,358349,301938,0.0,13,7.8,0.0,26,33.0,2,0.0,9,56127,4.3,0,0,55,56,55,18.0,5.6,0.0,29358,0.0,15522,0.0,0,0,0.0,2,2,0,1,1,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,20501,0.0,0,5
1528,Declan Rice,MID,West Ham,14,14,3.5,2022-23,90,90,17,90,22.4,3,458629,441911,433897,19.0,21,27.2,34.0,36,53.0,2,0.0,10,19030,18.7,0,0,48,48,49,15.0,25.3,0.0,24878,0.0,8681,0.0,0,0,0.0,1,1,0,1,1,0.0,1,1,0,0,1,1,0.0,0.0,0.0,0.0,3,0,0,13664,0.0,0,2
1529,Anthony Gordon,MID,Everton,9,14,2.3,2022-23,85,90,29,0,42.8,8,233407,234249,268351,40.0,7,6.6,3.5,0,0.0,1,4.0,0,3687,2.0,0,0,54,54,55,0.0,0.0,0.0,7430,0.0,1632,0.0,1,1,0.0,1,1,0,0,0,0.0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,28164,0.0,0,3
1530,David Raya Martin,GK,Brentford,20,14,5.2,2022-23,90,90,24,90,49.4,2,841367,719021,729615,0.0,33,31.6,0.0,36,47.8,10,0.0,10,40603,0.0,4,4,45,46,45,0.0,0.0,0.0,99425,0.0,15545,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,2,0,0,17727,0.0,3,3
1531,Joachim Andersen,DEF,Crystal Palace,17,14,2.7,2022-23,90,90,14,90,21.4,1,344485,414500,279695,17.0,11,6.8,0.5,21,13.8,2,22.0,5,75112,0.7,3,3,45,45,45,0.0,0.9,0.0,15955,0.0,39061,0.0,0,0,0.0,1,1,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,19306,0.0,0,6
1532,Ederson Santana de Moraes,GK,Man City,10,14,5.8,2022-23,90,90,23,90,26.8,5,1475971,1555297,1640262,0.0,16,15.8,13.0,25,5.2,2,0.0,6,23983,0.0,1,1,55,54,55,0.0,0.0,0.0,21516,0.0,57960,0.0,0,0,0.0,1,1,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,52043,0.0,0,9
1533,Angelo Ogbonna,DEF,West Ham,14,14,0.0,2022-23,0,0,0,0,0.0,0,7079,7070,7244,0.0,0,0.0,0.0,0,0.0,0,0.0,0,77,0.0,0,0,44,44,44,0.0,0.0,0.0,107,0.0,117,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,169,0.0,0,0
1534,Jarrod Bowen,MID,West Ham,14,14,3.5,2022-23,87,90,4,90,7.2,3,584749,573852,596908,12.0,6,14.6,5.4,7,14.2,0,28.0,2,39977,12.8,0,0,82,82,82,32.0,37.2,0.0,53575,0.0,105827,0.0,0,0,0.0,1,1,0,0,0,0.0,1,1,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,59724,0.0,0,2
1535,Ben Davies,DEF,Liverpool,11,14,0.0,2022-23,9,0,3,90,0.8,1,94311,509,96124,0.0,0,0.0,0.3,18,27.4,0,0.0,1,0,0.0,0,0,40,49,49,4.0,26.4,0.0,3657,0.0,8559,0.0,0,0,0.0,0,0,0,0,0,0.0,2,2,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,3520,0.0,0,0
1536,Jan Bednarek,DEF,Aston Villa,15,14,0.3,2022-23,0,45,0,0,0.0,0,24103,24257,25153,0.0,7,6.6,0.0,0,0.0,1,0.0,0,152,0.3,0,0,43,43,43,0.0,0.0,0.0,158,0.0,232,0.0,0,0,0.0,1,1,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,680,0.0,0,0
1537,Bryan Mbeumo,FWD,Brentford,20,14,2.3,2022-23,60,71,0,79,3.4,2,165452,167516,184259,58.0,5,9.8,16.3,3,1.8,2,32.0,2,5036,18.4,4,4,59,58,59,10.0,16.1,0.0,6570,0.0,9619,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0,0,0,16360,0.0,0,4
1538,Marcus Rashford,MID,Man Utd,19,14,3.0,2022-23,80,90,4,18,8.4,3,1689611,1673277,1710049,46.0,-2,12.8,2.5,3,0.2,3,71.0,1,94654,7.4,0,0,66,66,65,8.0,11.9,0.0,106147,0.0,187323,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,1,1,1,1,0.0,0.0,0.0,0.0,0,0,0,136218,0.0,0,8
1539,John Stones,DEF,Man City,10,14,2.4,2022-23,0,0,0,0,0.0,0,146857,156434,168993,0.0,0,0.0,0.0,0,0.0,0,0.0,0,167,0.0,0,0,54,54,54,0.0,0.0,0.0,718,0.0,227,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,3740,0.0,0,7
1540,Lucas Digne,DEF,Aston Villa,15,14,0.2,2022-23,0,0,0,0,0.0,0,126678,129072,144509,0.0,0,0.0,0.0,0,0.0,0,0.0,0,81,0.0,0,0,46,46,46,0.0,0.0,0.0,42,0.0,112,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,7151,0.0,0,1
1541,Nathan Aké,DEF,Man City,10,14,2.8,2022-23,0,90,0,90,0.0,0,94132,86016,85915,0.0,16,16.2,0.0,28,15.2,2,4.0,6,5113,3.3,0,0,50,50,50,0.0,0.8,0.0,10372,0.0,13023,0.0,0,0,0.0,1,1,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,2863,0.0,0,0
1542,Bukayo Saka,MID,Arsenal,16,14,7.2,2022-23,90,81,2,90,3.0,1,1663523,1437635,1146083,11.0,28,37.4,3.0,44,70.8,9,19.0,15,283723,18.3,1,1,78,79,78,97.0,3.7,0.0,318352,0.0,43669,0.0,0,0,0.0,0,0,0,2,2,0.0,2,2,1,1,0,0,0.0,0.0,0.0,0.0,3,1,1,120298,0.0,1,4
1543,Trent Alexander-Arnold,DEF,Liverpool,11,14,3.0,2022-23,28,90,13,1,8.8,1,2183350,2177794,2116211,17.0,30,16.0,29.7,-1,0.0,8,6.0,1,98888,49.3,0,0,72,72,73,7.0,0.0,0.0,135823,0.0,6531,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0,0,0,56116,0.0,2,2
1544,Mohamed Salah,MID,Liverpool,11,14,5.5,2022-23,90,90,1,89,6.0,2,3635813,4291826,2730746,64.0,2,5.4,10.8,15,30.4,3,73.0,8,824446,14.3,1,1,127,128,127,23.0,5.7,0.0,221071,0.0,48436,0.0,0,0,0.0,0,0,0,1,1,0.0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0,0,0,130431,0.0,0,7
1545,Thomas Partey,MID,Arsenal,16,14,6.2,2022-23,90,90,14,90,14.4,2,53204,49227,45510,2.0,15,10.0,14.5,17,21.2,3,0.0,2,7934,1.0,1,1,48,48,48,0.0,13.6,0.0,6924,0.0,17732,0.0,0,0,0.0,0,0,0,0,0,0.0,2,2,1,1,0,0,0.0,0.0,0.0,0.0,0,0,0,2690,0.0,0,9
1546,Lewis Dunk,DEF,Brighton,6,14,2.0,2022-23,90,90,9,90,8.6,1,589847,814847,539403,0.0,28,18.4,0.8,13,21.0,8,17.0,1,115788,1.3,3,3,46,47,46,9.0,1.8,0.0,16046,0.0,89283,0.0,0,0,0.0,0,0,0,0,0,0.0,2,2,1,1,0,0,0.0,0.0,0.0,0.0,0,0,0,63106,0.0,2,2
1547,Craig Dawson,DEF,West Ham,14,14,1.1,2022-23,0,0,0,0,0.0,0,19389,20157,23331,0.0,0,0.0,0.0,0,0.0,0,0.0,0,75,0.0,0,0,48,48,48,0.0,0.0,0.0,57,0.0,3444,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1650,0.0,0,2
1548,Emiliano Buendía Stati,MID,Aston Villa,15,14,1.7,2022-23,70,32,7,24,8.2,3,36961,37856,38557,33.0,2,1.8,23.0,2,2.8,1,0.0,1,844,10.4,0,0,58,58,58,22.0,4.2,0.0,769,0.0,789,0.0,0,0,0.0,2,2,0,0,0,0.0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,2119,0.0,0,2
1549,Aaron Ramsdale,GK,Arsenal,16,14,5.2,2022-23,90,90,12,90,14.8,2,1120866,1120191,1098374,0.0,32,34.8,0.0,15,12.6,10,0.0,1,52485,0.0,1,1,49,49,49,0.0,0.0,0.0,45235,0.0,36722,0.0,0,0,0.0,0,0,0,0,0,0.0,2,2,1,1,0,0,0.0,0.0,0.0,0.0,0,0,0,27682,0.0,3,6
1550,Tyrick Mitchell,DEF,Crystal Palace,17,14,2.8,2022-23,90,90,11,55,19.4,1,98156,102162,98093,0.0,9,10.6,6.4,7,3.4,2,2.0,1,6084,1.9,3,3,45,45,45,2.0,0.9,0.0,2863,0.0,6372,0.0,0,0,0.0,1,1,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,5334,0.0,0,11
1551,Max Kilman,DEF,Wolves,4,14,1.8,2022-23,90,90,7,90,9.2,0,342211,399987,321307,13.0,14,16.8,1.4,25,16.2,1,0.0,6,57235,0.2,4,4,46,46,45,4.0,0.9,0.0,12064,0.0,111628,0.0,0,0,0.0,2,2,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,28540,0.0,0,2
1552,Dwight McNeil,MID,Everton,9,14,3.3,2022-23,17,11,20,90,33.2,6,15252,15334,15822,17.0,6,3.0,0.6,7,18.2,1,0.0,1,280,0.3,0,0,52,52,52,0.0,15.3,0.0,515,0.0,445,0.0,1,1,0.0,0,0,0,0,0,0.0,2,2,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,865,0.0,0,1
1553,Ezri Konsa Ngoyo,DEF,Aston Villa,15,14,2.5,2022-23,90,90,25,90,24.8,6,41262,43099,43451,0.0,14,13.4,0.3,13,12.4,1,2.0,1,1933,41.9,0,0,44,44,44,6.0,10.7,0.0,822,0.0,3627,0.0,0,0,0.0,3,3,0,0,0,0.0,2,2,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,3188,0.0,0,0
1554,Roberto Firmino,FWD,Liverpool,11,14,5.3,2022-23,75,80,6,71,0.0,2,1039303,1348438,596036,13.0,9,12.0,3.6,10,12.4,2,77.0,2,409320,29.8,1,1,81,81,80,8.0,26.9,0.0,188172,0.0,158045,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0,0,0,118965,0.0,0,2
1555,Kieran Trippier,DEF,Newcastle,2,14,7.0,2022-23,90,90,21,90,34.8,2,6355674,6403411,5898774,0.0,36,29.0,26.1,26,18.2,9,6.0,6,344656,71.4,1,1,57,57,56,8.0,57.6,0.0,165584,0.0,451202,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0,0,0,52146,0.0,3,11
1556,Bernd Leno,GK,Fulham,8,14,4.8,2022-23,90,90,15,90,23.4,2,173006,171874,178799,0.0,40,47.0,0.0,18,31.6,11,0.0,2,2893,0.0,2,2,45,45,45,0.0,0.0,0.0,4340,0.0,11926,0.0,0,0,0.0,0,0,0,0,0,0.0,2,2,1,1,0,0,0.0,0.0,0.0,0.0,0,0,0,5945,0.0,3,10
1557,Kyle Walker-Peters,DEF,Southampton,7,14,0.0,2022-23,0,65,0,90,0.0,0,124151,146426,144299,0.0,24,8.8,0.0,4,15.6,6,2.0,1,6245,11.9,0,0,45,45,45,0.0,6.0,0.0,390,0.0,4103,0.0,0,0,0.0,0,0,0,0,0,0.0,1,1,1,1,0,0,0.0,0.0,0.0,0.0,0,0,0,22170,0.0,0,0
1558,Aymeric Laporte,DEF,Man City,10,14,2.6,2022-23,90,0,14,0,10.4,2,31031,29421,28537,8.0,0,0.0,3.9,0,0.0,0,0.0,0,1602,0.0,1,1,58,58,58,0.0,0.0,0.0,1199,0.0,2982,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,745,0.0,0,6
1559,Joelinton Cássio Apolinário de Lira,MID,Newcastle,2,14,2.7,2022-23,90,45,6,90,10.4,2,64271,80299,72356,8.0,2,2.4,3.4,0,5.0,0,4.0,3,7787,1.6,1,1,59,59,60,26.0,1.5,0.0,877,0.0,1989,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,14011,0.0,0,7
1560,Alex Iwobi,MID,Everton,9,14,5.5,2022-23,90,72,35,90,40.4,12,81274,76526,62720,9.0,2,0.0,35.4,7,3.4,2,2.0,2,14932,3.4,0,0,55,55,55,0.0,2.7,0.0,14198,0.0,17340,0.0,0,0,0.0,1,1,3,0,0,0.0,2,2,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,7449,0.0,0,3
1561,Joel Matip,DEF,Liverpool,11,14,0.0,2022-23,0,0,0,0,0.0,0,83252,86334,93400,0.0,0,0.0,0.0,0,0.0,0,0.0,0,409,0.0,0,0,59,59,59,0.0,0.0,0.0,84,0.0,1879,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,4716,0.0,0,0
1562,Saïd Benrahma,MID,West Ham,14,14,2.5,2022-23,90,29,25,31,34.8,8,83745,83174,84186,72.0,0,4.4,16.5,14,20.2,1,19.0,4,1716,1.2,0,0,56,56,56,34.0,22.8,0.0,3162,0.0,1431,0.0,1,1,0.0,0,0,0,0,0,0.0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,3554,0.0,0,2
1563,Fabio Henrique Tavares,MID,Liverpool,11,14,2.7,2022-23,90,32,11,72,6.0,2,100004,100060,99588,0.0,2,2.2,6.4,4,6.6,1,0.0,2,2662,0.6,1,1,53,53,53,2.0,1.5,0.0,2384,0.0,2173,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,3169,0.0,0,2
1564,Hakim Ziyech,MID,Chelsea,5,14,0.8,2022-23,0,0,0,0,0.0,0,33379,33380,34920,0.0,0,0.0,0.0,0,0.0,0,0.0,0,55,0.0,0,0,56,56,56,0.0,0.0,0.0,334,0.0,530,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,709,0.0,0,1
1565,Tomas Soucek,MID,West Ham,14,14,2.7,2022-23,90,90,26,90,30.2,6,111783,110998,121977,8.0,4,14.8,22.3,11,17.6,2,33.0,2,842,2.3,0,0,53,53,54,24.0,0.9,0.0,2961,0.0,2163,0.0,0,0,0.0,1,1,0,0,0,0.0,1,1,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,7909,0.0,0,1
1566,Wilfried Zaha,MID,Crystal Palace,17,14,3.5,2022-23,90,90,-6,76,4.8,1,2545331,2666457,2221800,9.0,25,53.8,6.5,5,1.8,8,60.0,3,275540,14.5,3,3,75,75,74,16.0,14.5,0.0,220268,0.0,217444,0.0,0,0,0.0,1,1,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,114128,0.0,1,2
1567,Sean Longstaff,MID,Newcastle,2,14,3.8,2022-23,90,90,19,90,25.4,5,248156,239080,248606,6.0,11,9.4,26.3,8,12.6,3,4.0,3,12052,22.2,1,1,44,44,44,2.0,2.8,0.0,13084,0.0,11120,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0,0,0,15781,0.0,0,3
1568,Granit Xhaka,MID,Arsenal,16,14,6.4,2022-23,90,90,34,90,49.0,10,368620,381694,390185,34.0,15,8.6,41.6,8,16.6,3,2.0,2,26252,2.8,1,1,51,51,51,18.0,7.3,0.0,34061,0.0,83754,0.0,1,1,0.0,0,0,3,0,0,0.0,2,2,1,1,0,0,0.0,0.0,0.0,0.0,0,0,0,17512,0.0,0,3
1569,Harvey Barnes,MID,Leicester,13,14,4.2,2022-23,78,84,26,84,36.8,8,180799,245024,157099,21.0,19,37.0,2.2,0,3.0,8,19.0,3,40928,2.2,0,0,69,69,69,69.0,16.2,0.0,13877,0.0,10338,0.0,1,1,0.0,0,0,0,0,0,0.0,0,0,1,1,1,1,0.0,0.0,0.0,0.0,0,1,1,21448,0.0,0,2
1570,Michail Antonio,FWD,West Ham,14,14,2.2,2022-23,16,16,3,3,0.2,1,170352,172458,182809,0.0,0,3.2,1.8,3,0.0,1,0.0,1,2153,10.3,0,0,71,71,71,0.0,0.0,0.0,3612,0.0,9659,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,8025,0.0,0,1
1571,Mason Mount,MID,Chelsea,5,14,6.3,2022-23,90,61,7,90,6.4,2,1133200,1777203,510937,8.0,7,2.8,17.3,47,76.8,3,4.0,15,723244,6.8,1,1,77,77,76,44.0,11.3,0.0,123162,0.0,156022,0.0,0,0,0.0,0,0,0,2,2,0.0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,3,0,0,188434,0.0,0,2
1572,Raúl Jiménez,FWD,Wolves,4,14,0.0,2022-23,0,0,0,0,0.0,0,22684,23182,23720,0.0,0,0.0,0.0,0,0.0,0,0.0,0,148,0.0,0,0,68,68,68,0.0,0.0,0.0,29,0.0,173,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,567,0.0,0,0
1573,Kai Havertz,FWD,Chelsea,5,14,3.8,2022-23,0,80,0,45,0.0,0,232591,265054,243902,0.0,7,3.2,0.0,3,10.0,2,27.0,1,19430,4.3,0,0,77,77,77,19.0,11.3,0.0,4776,0.0,30370,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0,0,0,24629,0.0,0,9
1574,Danny Welbeck,FWD,Brighton,6,14,1.7,2022-23,78,90,4,90,2.6,2,150076,218211,168372,8.0,3,12.6,1.5,0,0.6,2,56.0,2,32851,23.3,3,3,65,65,65,47.0,3.4,0.0,2845,0.0,29381,0.0,0,0,0.0,0,0,0,0,0,0.0,2,2,1,1,0,0,0.0,0.0,0.0,0.0,0,0,0,39426,0.0,0,0
1575,Jorge Luiz Frello Filho,MID,Chelsea,5,14,3.0,2022-23,90,90,25,25,50.2,8,259617,262731,264465,17.0,13,14.8,2.2,3,5.8,3,10.0,1,6282,18.8,1,1,59,59,59,0.0,0.1,0.0,5505,0.0,5090,0.0,1,1,0.0,0,0,2,0,0,0.0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0,0,0,10703,0.0,0,0
1576,Timo Werner,FWD,Chelsea,5,14,0.0,2022-23,0,0,0,0,0.0,0,19216,19302,19393,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,79,79,79,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,85,0.0,0,0
1577,Oleksandr Zinchenko,DEF,Arsenal,16,14,0.7,2022-23,0,0,0,0,0.0,0,949323,1123494,1267763,0.0,0,0.0,0.0,0,0.0,0,0.0,0,7264,0.0,0,0,51,50,51,0.0,0.0,0.0,1053,0.0,46202,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,79965,0.0,0,0
1578,Daniel Castelo Podence,MID,Wolves,4,14,1.8,2022-23,90,90,2,90,13.8,2,115116,119631,128713,70.0,11,15.4,37.1,7,8.2,2,19.0,2,3941,37.0,4,4,55,54,55,8.0,14.7,0.0,2813,0.0,17623,0.0,0,0,0.0,2,2,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,11353,0.0,0,1
