,name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent,season,position,team,xP,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts
44,Sadio_Mané_192,2,2,40,0,28.1,192,149,2,1,12.5,66.0,2019-12-04T20:15:00Z,90,8,0,0,0,0,15,0,2888125,2.0,5.0,31.0,15,-3831,38019,41850,122,True,0,Everton,2019-20,,,,,,,,
45,Kevin_De Bruyne_215,0,0,19,0,80.3,215,155,2,0,15.8,28.8,2019-12-07T17:30:00Z,90,12,0,0,0,0,16,0,2925544,2.0,1.0,49.0,1,-29654,66817,96471,103,True,1,Man Utd,2019-20,,,,,,,,
46,Sadio_Mané_192,0,0,0,0,0.0,192,152,0,0,0.0,0.0,2019-12-07T15:00:00Z,0,3,0,0,0,0,16,0,3065463,3.0,0.0,0.0,0,161809,191240,29431,123,False,0,Bournemouth,2019-20,,,,,,,,
47,Mohamed_Salah_191,1,2,34,1,51.5,191,152,0,1,20.6,63.2,2019-12-07T15:00:00Z,90,3,0,0,0,0,16,0,1511749,3.0,0.0,91.0,13,-79042,42208,121250,122,False,0,Bournemouth,2019-20,,,,,,,,
48,Mohamed_Salah_191,0,3,38,1,3.9,191,166,0,2,19.9,69.8,2019-12-14T12:30:00Z,90,18,0,0,0,0,17,0,1582495,0.0,2.0,125.0,16,58171,84297,26126,122,True,0,Watford,2019-20,,,,,,,,
49,Kevin_De Bruyne_215,1,3,59,1,32.0,215,161,0,2,16.2,80.4,2019-12-15T16:30:00Z,90,1,0,0,0,0,17,0,2708340,3.0,0.0,50.0,19,-221640,42445,264085,102,False,0,Arsenal,2019-20,,,,,,,,
50,Sadio_Mané_192,1,0,15,1,15.2,192,166,0,0,7.0,23.4,2019-12-14T12:30:00Z,90,18,0,0,0,0,17,0,3076237,0.0,2.0,31.0,6,1511,76746,75235,123,True,0,Watford,2019-20,,,,,,,,
51,Kevin_De Bruyne_215,1,0,28,0,86.6,215,175,1,0,19.1,48.8,2019-12-21T17:30:00Z,90,9,0,0,0,0,18,0,3240793,1.0,3.0,56.0,4,425666,442475,16809,103,True,1,Leicester,2019-20,,,,,,,,
52,Sadio_Mané_192,1,0,13,1,36.3,192,186,0,0,10.3,22.2,2019-12-26T20:00:00Z,90,9,0,0,0,0,19,0,2675872,4.0,0.0,44.0,6,125310,166363,41053,122,False,0,Leicester,2019-20,,,,,,,,
53,Kevin_De Bruyne_215,1,0,21,0,13.8,215,190,1,0,5.1,29.2,2019-12-27T19:45:00Z,66,20,0,0,0,0,19,0,3462785,2.0,3.0,8.0,5,287829,315524,27695,104,False,0,Wolves,2019-20,,,,,,,,
54,Mohamed_Salah_191,0,0,5,1,15.9,191,186,0,0,4.0,0.0,2019-12-26T20:00:00Z,69,9,0,0,0,0,19,0,1722996,4.0,0.0,25.0,3,233179,244647,11468,122,False,0,Leicester,2019-20,,,,,,,,
55,Sadio_Mané_192,0,3,35,1,15.5,192,194,0,1,9.7,40.0,2019-12-29T16:30:00Z,90,20,0,0,0,0,20,0,2724536,0.0,1.0,41.0,11,44849,76332,31483,122,True,0,Wolves,2019-20,,,,,,,,
56,Kevin_De Bruyne_215,1,3,34,1,17.8,215,195,0,1,11.9,57.4,2019-12-29T18:00:00Z,90,15,0,0,0,0,20,0,3531631,0.0,2.0,44.0,14,64475,93340,28865,105,True,0,Sheffield Utd,2019-20,,,,,,,,
57,Mohamed_Salah_191,0,0,0,1,38.5,191,194,0,0,8.2,12.6,2019-12-29T16:30:00Z,90,20,0,0,0,0,20,0,1787526,0.0,1.0,31.0,3,63148,89337,26189,123,True,0,Wolves,2019-20,,,,,,,,
58,Sadio_Mané_192,0,0,25,1,0.0,192,204,0,1,0.0,0.0,2020-01-02T20:00:00Z,77,15,0,0,0,0,21,0,2818918,0.0,2.0,0.0,8,84941,114078,29137,123,True,0,Sheffield Utd,2019-20,,,,,,,,
59,Kevin_De Bruyne_215,0,0,13,0,27.3,215,205,1,0,5.4,16.4,2020-01-01T17:30:00Z,90,8,0,0,0,0,21,0,3684027,1.0,2.0,10.0,2,134851,158704,23853,106,True,0,Everton,2019-20,,,,,,,,
60,Mohamed_Salah_191,0,2,32,1,0.0,191,204,0,1,0.0,0.0,2020-01-02T20:00:00Z,90,15,0,0,0,0,21,0,1773138,0.0,2.0,0.0,10,-15901,53382,69283,123,True,0,Sheffield Utd,2019-20,,,,,,,,
61,Sadio_Mané_192,0,0,10,1,10.6,192,219,0,0,5.4,12.6,2020-01-11T17:30:00Z,80,17,0,0,0,0,22,0,2923945,1.0,0.0,31.0,3,93711,128999,35288,123,False,0,Spurs,2019-20,,,,,,,,
62,Kevin_De Bruyne_215,2,0,34,1,40.7,215,211,0,0,8.9,42.6,2020-01-12T16:30:00Z,62,2,0,0,0,0,22,0,3786619,6.0,1.0,6.0,9,83926,128395,44469,106,False,0,Aston Villa,2019-20,,,,,,,,
63,Mohamed_Salah_191,1,0,25,1,40.2,191,219,0,0,9.3,22.6,2020-01-11T17:30:00Z,90,17,0,0,0,0,22,0,1838831,1.0,0.0,30.0,6,57249,97161,39912,123,False,0,Spurs,2019-20,,,,,,,,
64,Kevin_De Bruyne_215,0,0,21,0,104.8,215,225,2,0,16.4,30.4,2020-01-18T15:00:00Z,90,7,0,0,0,0,23,0,3898669,2.0,2.0,29.0,2,95576,133069,37493,107,True,0,Crystal Palace,2019-20,,,,,,,,
65,Sadio_Mané_192,0,0,0,1,25.5,192,224,0,0,7.0,3.2,2020-01-19T16:30:00Z,82,12,0,0,0,0,23,0,2935873,0.0,2.0,41.0,3,8515,77610,69095,124,True,0,Man Utd,2019-20,,,,,,,,
66,Mohamed_Salah_191,0,0,23,1,32.7,191,224,0,1,13.2,44.4,2020-01-19T16:30:00Z,90,12,0,0,0,0,23,0,1891529,0.0,2.0,55.0,7,48254,93684,45430,123,True,1,Man Utd,2019-20,,,,,,,,
67,Kevin_De Bruyne_215,1,1,30,1,55.6,215,236,0,0,10.0,31.4,2020-01-21T19:30:00Z,90,15,0,0,0,0,24,0,3712642,1.0,0.0,13.0,7,-149757,55843,205600,107,False,0,Sheffield Utd,2019-20,,,,,,,,
